26, 26, 26, 26, 26, 26, 26, 26
27, 30, 27, 35, 30, 27, 27, 27
28, 35, 28, 44, 34, 29, 28, 29
29, 37, 29, 48, 39, 32, 32, 30
30, 47, 30, 44, 61, 35, 53, 32
31, 54, 30, 59, 81, 39, 53, 35
32, 70, 30, 52, 139, 83, 92, 38
33, 84, 30, 49, 208, 129, 125, 82
34, 113, 30, 58, 380, 178, 131, 105
35, 132, 34, 55, 529, 156, 156, 133
36, 158, 38, 51, 431, 246, 216, 125
37, 182, 41, 54, 461, 328, 406, 153
38, 210, 45, 53, 920, 563, 380, 186
39, 243, 49, 52, 913, 729, 601, 159
40, 247, 52, 64, 1131, 899, 1061, 162
41, 244, 58, 64, 1324, 1143, 2044, 163
42, 317, 59, 184, 1406, 2146, 2043, 187
43, 391, 59, 227, 1376, 3568, 2435, 599
44, 481, 60, 158, 2704, 5128, 2932, 721
45, 648, 66, 457, 3021, 5763, 3647, 1321
46, 643, 66, 501, 2837, 13573, 4432, 983
47, 645, 69, 430, 4880, 14700, 6606, 1076
48, 601, 72, 1011, 5007, 12924, 8564, 3477
49, 598, 72, 1328, 9875, 14366, 14194, 5630
50, 628, 75, 1231, 11297, 16539, 13916, 6143
51, 899, 78, 1419, 10438, 16545, 19425, 7030
52, 1159, 78, 1318, 9987, 14805, 23764, 8757
53, 1474, 334, 1239, 11124, 20507, 20829, 14424
54, 1903, 520, 4263, 10338, 20136, 19559, 13029
55, 1987, 857, 5239, 14358, 22823, 20687, 12896
56, 2024, 1388, 4270, 21642, 20586, 21408, 14494
57, 1982, 1541, 9627, 23150, 23223, 22590, 14368
58, 2003, 1862, 11348, 22703, 23542, 26072, 19132
59, 2175, 2389, 10675, 22011, 22822, 23298, 21631
60, 2324, 4641, 21877, 20011, 24194, 24567, 21095
61, 2468, 6841, 22113, 28302, 26053, 32214, 24030
62, 2627, 8021, 20818, 28221, 26486, 33972, 24540
63, 4546, 9295, 21328, 30720, 34166, 34427, 23257
64, 7455, 9748, 20307, 28791, 40491, 35961, 33507
65, 10768, 12562, 18222, 36025, 38170, 41673, 37575
66, 13245, 13423, 41809, 36782, 37762, 44208, 35453
67, 14100, 17910, 49975, 38326, 41557, 42477, 48449
68, 18815, 26678, 48941, 48067, 46125, 44989, 54486
69, 22184, 32080, 71826, 51004, 50032, 50876, 57722
70, 23659, 36540, 78630, 48987, 49537, 60389, 62648
71, 24675, 39145, 78715, 53010, 58098, 64123, 62114
72, 36355, 42437, 77556, 70357, 61035, 61035, 58880
73, 45355, 45150, 74802, 78981, 77067, 69401, 66496
74, 59681, 61149, 69917, 87603, 82200, 85474, 84738
75, 68158, 72292, 94727, 84262, 87151, 87151, 84262
76, 73331, 90493, 107649, 83118, 83118, 83118, 83118
77, 91607, 104685, 113179, 104654, 104654, 104654, 94626
78, 103752, 105687, 120999, 112583, 112583, 119007, 119007
79, 111712, 111712, 122642, 122642, 122642, 122642, 122642
80, 117978, 117978, 117978, 117978, 117978, 117978, 117978
