68, 48941, 48067, 46125, 44989, 54486
69, 71826, 51004, 50032, 50876, 57722
70, 78630, 48987, 49537, 60389, 62648
71, 78715, 53010, 58098, 64123, 62114
72, 77556, 70357, 61035, 61035, 58880
73, 74802, 78981, 77067, 69401, 66496
74, 69917, 87603, 82200, 85474, 84738
75, 94727, 84262, 87151, 87151, 84262
76, 107649, 83118, 83118, 83118, 83118
77, 113179, 104654, 104654, 104654, 94626
78, 120999, 112583, 112583, 119007, 119007
79, 122642, 122642, 122642, 122642, 122642
80, 117978, 117978, 117978, 117978, 117978
