rays, sec,   rec-ord
12754, 1.1, 1
12789, 1.5, 0
12794, 1.7, 0
12803, 2.4, 0
12805, 2.0, 1
12805, 1.1, 0
12873, 1.9, 1
12877, 2.5, 0
12906, 1.5, 0
12934, 2.1, 0
12935, 6.8, 0
12947, 1.6, 1
12970, 1.6, 0
12982, 3.4, 1
13001, 1.6, 0
13005, 2.3, 0
13008, 3.2, 1
13018, 2.6, 0
13056, 1.7, 0
13069, 4.6, 0
13090, 1.6, 0
13092, 1.2, 0
13098, 1.8, 0
13116, 1.2, 0
13120, 1.1, 0
13173, 1.3, 0
13209, 3.4, 1
13226, 1.5, 0
13227, 1.2, 0
13230, 1.7, 0
13236, 1.9, 1
13253, 1.3, 0
13256, 1.6, 0
13272, 3.4, 0
13274, 2.1, 0
13284, 1.6, 1
13297, 1.3, 1
13320, 2.0, 0
13328, 2.5, 0
13332, 1.4, 0
13336, 5.3, 0
13367, 1.5, 1
13389, 2.0, 0
13408, 1.6, 0
13414, 1.8, 0
13424, 3.2, 1
13431, 1.6, 0
13439, 2.4, 0
13480, 2.5, 1
13484, 1.1, 0
13489, 3.4, 0
13523, 2.4, 0
13542, 1.4, 0
13574, 2.1, 1
13581, 1.7, 0
13611, 2.3, 0
13631, 2.1, 1
13647, 2.8, 0
13703, 2.5, 1
13713, 3.5, 0
13713, 2.6, 0
13723, 1.1, 0
13744, 3.5, 0
13749, 4.8, 0
13753, 1.6, 0
13773, 1.6, 0
13774, 1.9, 0
13783, 1.5, 0
13808, 1.6, 0
13811, 1.8, 0
13826, 1.0, 0
13844, 2.8, 1
13850, 1.6, 0
13853, 3.0, 1
13854, 1.6, 0
13861, 1.9, 0
13866, 1.2, 0
13871, 1.2, 1
13910, 1.4, 0
13910, 1.1, 0
13911, 1.7, 0
13925, 7.9, 1
13952, 1.5, 0
13986, 1.2, 1
13995, 1.1, 0
13996, 2.2, 0
13997, 2.8, 0
14000, 2.7, 0
14015, 1.4, 0
14025, 5.4, 0
14032, 1.2, 0
14032, 2.3, 0
14048, 1.7, 0
14079, 1.5, 0
14090, 2.7, 0
14103, 1.1, 0
14137, 3.0, 1
14137, 2.4, 1
14182, 1.6, 0
14190, 2.3, 0
14202, 1.7, 0
14214, 1.8, 0
14237, 1.3, 0
14238, 2.2, 0
14239, 3.1, 1
14245, 1.1, 0
14246, 4.2, 0
14246, 2.7, 0
14291, 1.9, 0
14310, 1.6, 0
14343, 1.5, 0
14348, 2.0, 0
14369, 1.8, 0
14386, 1.1, 1
14415, 2.0, 0
14433, 2.3, 1
14434, 2.0, 0
14438, 1.9, 0
14454, 1.1, 0
14460, 1.4, 0
14463, 2.8, 0
14467, 2.0, 1
14470, 2.0, 0
14484, 2.7, 1
14486, 1.8, 0
14488, 1.9, 1
14498, 3.7, 1
14513, 3.8, 1
14513, 1.3, 0
14516, 2.9, 0
14565, 2.5, 0
14567, 3.6, 1
14597, 1.7, 0
14602, 2.7, 1
14607, 2.2, 0
14648, 2.0, 1
14660, 3.8, 0
14699, 3.6, 1
14757, 4.9, 1
14781, 2.0, 0
14786, 2.5, 1
14796, 4.8, 0
14891, 2.3, 1
14891, 4.3, 0
14891, 3.3, 0
14893, 1.1, 0
14899, 2.6, 0
14905, 2.7, 0
14910, 2.3, 0
14920, 1.8, 0
14925, 2.9, 0
14955, 1.2, 0
14963, 1.3, 0
14973, 3.1, 1
14990, 1.1, 0
15010, 5.9, 0
15023, 4.8, 1
15046, 4.8, 1
15105, 2.7, 0
15106, 3.3, 1
15125, 2.3, 0
15131, 3.5, 1
15152, 1.1, 0
15159, 3.0, 0
15159, 1.2, 0
15164, 2.2, 0
15167, 5.7, 0
15182, 1.4, 0
15197, 2.5, 0
15229, 1.2, 0
15231, 1.8, 0
15246, 1.1, 0
15269, 4.9, 0
15270, 5.9, 0
15279, 2.5, 0
15298, 2.8, 0
15311, 2.5, 0
15391, 4.7, 0
15427, 2.9, 1
15449, 1.6, 0
15471, 6.3, 0
15541, 1.6, 0
15574, 1.1, 0
15599, 1.4, 0
15619, 2.3, 0
15750, 1.0, 0
15761, 1.8, 0
15821, 3.9, 1
15824, 2.1, 0
15839, 1.3, 0
15909, 4.3, 0
15911, 4.9, 1
15914, 1.1, 0
15922, 1.6, 0
15954, 2.0, 0
15989, 3.9, 0
15989, 1.8, 0
16003, 6.1, 1
16035, 3.8, 1
16048, 1.1, 1
16049, 1.4, 0
16050, 3.8, 0
16065, 2.8, 1
16104, 2.2, 0
16107, 1.4, 0
16114, 1.1, 0
16114, 1.6, 0
16114, 2.9, 0
16116, 2.5, 0
16132, 1.4, 0
16134, 1.0, 0
16151, 3.8, 0
16151, 2.1, 0
16153, 2.9, 0
16153, 2.8, 0
16168, 2.5, 0
16176, 2.7, 0
16180, 4.4, 0
16231, 2.9, 1
16242, 3.8, 0
16244, 3.7, 0
16251, 2.5, 0
16254, 2.2, 0
16256, 1.3, 1
16261, 2.7, 0
16263, 2.6, 0
16266, 2.6, 0
16277, 2.3, 1
16323, 4.3, 1
16324, 2.9, 0
16365, 3.0, 0
16378, 3.7, 1
16407, 3.7, 0
16408, 3.0, 0
16440, 2.2, 0
16448, 2.6, 0
16482, 8.0, 0
16493, 1.4, 1
16514, 1.5, 0
16518, 2.3, 0
16528, 2.7, 0
16530, 1.1, 0
16564, 1.1, 0
16571, 1.6, 0
16579, 1.3, 0
16597, 2.8, 0
16603, 1.5, 1
16613, 1.1, 0
16640, 4.5, 1
16641, 1.6, 0
16646, 1.2, 0
16708, 1.9, 1
16715, 1.5, 0
16732, 4.8, 0
16732, 1.4, 0
16768, 1.7, 0
16772, 1.5, 0
16780, 1.7, 1
16791, 2.2, 1
16811, 1.2, 0
16821, 1.6, 0
16844, 1.8, 0
16863, 1.5, 0
16872, 1.2, 1
16879, 2.2, 0
16888, 1.6, 0
16891, 1.2, 0
16913, 1.3, 0
16915, 2.4, 0
16916, 5.0, 1
16929, 4.3, 0
17037, 4.7, 1
17043, 2.1, 0
17087, 2.0, 0
17093, 2.0, 1
17112, 2.0, 0
17114, 1.6, 0
17132, 1.1, 0
17143, 1.0, 0
17179, 5.1, 0
17240, 4.5, 1
17245, 2.9, 0
17248, 2.2, 1
17250, 1.7, 0
17261, 4.0, 1
17263, 2.6, 0
17331, 4.4, 1
17334, 3.3, 0
17344, 5.6, 1
17346, 2.1, 0
17361, 2.8, 0
17405, 1.5, 0
17414, 1.2, 0
17465, 3.0, 1
17468, 1.7, 0
17501, 3.8, 0
17539, 7.0, 0
17551, 1.8, 0
17554, 2.8, 0
17557, 3.9, 0
17566, 3.8, 0
17572, 2.0, 0
17578, 2.2, 1
17591, 2.7, 0
17626, 2.7, 0
17628, 1.4, 0
17638, 7.9, 1
17650, 1.3, 0
17686, 2.4, 0
17698, 1.6, 0
17711, 1.2, 0
17713, 1.5, 0
17737, 2.8, 0
17746, 9.9, 0
17750, 1.5, 0
17777, 2.3, 0
17780, 1.6, 0
17783, 5.0, 1
17822, 1.5, 0
17844, 1.6, 0
17905, 2.2, 0
17907, 2.8, 0
17917, 1.9, 0
17926, 1.6, 1
17943, 5.0, 0
17948, 3.9, 0
17988, 1.2, 0
17989, 1.4, 0
18012, 1.4, 0
18023, 1.1, 0
18077, 2.8, 1
18087, 1.4, 0
18095, 2.2, 1
18116, 1.0, 0
18124, 3.5, 0
18127, 2.1, 0
